domain,dimension,type,group,indicator,date,populationTotal,GNIperCap,value
ecological,biodiversity breakdown,global doughnut,World,extinction1900,2000,NA,NA,100
ecological,biodiversity breakdown,global doughnut,World,extinction1900,2001,NA,NA,100
ecological,biodiversity breakdown,global doughnut,World,extinction1900,2002,NA,NA,100
ecological,biodiversity breakdown,global doughnut,World,extinction1900,2003,NA,NA,100
ecological,biodiversity breakdown,global doughnut,World,extinction1900,2004,NA,NA,100
ecological,biodiversity breakdown,global doughnut,World,extinction1900,2005,NA,NA,100
ecological,biodiversity breakdown,global doughnut,World,extinction1900,2006,NA,NA,100
ecological,biodiversity breakdown,global doughnut,World,extinction1900,2007,NA,NA,100
ecological,biodiversity breakdown,global doughnut,World,extinction1900,2008,NA,NA,100
ecological,biodiversity breakdown,global doughnut,World,extinction1900,2009,NA,NA,100
ecological,biodiversity breakdown,global doughnut,World,extinction1900,2010,NA,NA,100
ecological,biodiversity breakdown,global doughnut,World,extinction1900,2011,NA,NA,100
ecological,biodiversity breakdown,global doughnut,World,extinction1900,2012,NA,NA,100
ecological,biodiversity breakdown,global doughnut,World,extinction1900,2013,NA,NA,100
ecological,biodiversity breakdown,global doughnut,World,extinction1900,2014,NA,NA,100
ecological,biodiversity breakdown,global doughnut,World,extinction1900,2015,NA,NA,100
ecological,biodiversity breakdown,global doughnut,World,extinction1900,2016,NA,NA,100
ecological,biodiversity breakdown,global doughnut,World,extinction1900,2017,NA,NA,100
ecological,biodiversity breakdown,global doughnut,World,extinction1900,2018,NA,NA,100
ecological,biodiversity breakdown,global doughnut,World,extinction1900,2019,NA,NA,100
ecological,biodiversity breakdown,global doughnut,World,extinction1900,2020,NA,NA,100
ecological,biodiversity breakdown,global doughnut,World,extinction1900,2021,NA,NA,100
ecological,biodiversity breakdown,global doughnut,World,extinction1900,2022,NA,NA,100
ecological,biodiversity breakdown,global doughnut,World,hanppGtC,2000,NA,NA,14.6
ecological,biodiversity breakdown,global doughnut,World,hanppGtC,2001,NA,NA,NA
ecological,biodiversity breakdown,global doughnut,World,hanppGtC,2002,NA,NA,NA
ecological,biodiversity breakdown,global doughnut,World,hanppGtC,2003,NA,NA,NA
ecological,biodiversity breakdown,global doughnut,World,hanppGtC,2004,NA,NA,NA
ecological,biodiversity breakdown,global doughnut,World,hanppGtC,2005,NA,NA,NA
ecological,biodiversity breakdown,global doughnut,World,hanppGtC,2006,NA,NA,NA
ecological,biodiversity breakdown,global doughnut,World,hanppGtC,2007,NA,NA,NA
ecological,biodiversity breakdown,global doughnut,World,hanppGtC,2008,NA,NA,NA
ecological,biodiversity breakdown,global doughnut,World,hanppGtC,2009,NA,NA,NA
ecological,biodiversity breakdown,global doughnut,World,hanppGtC,2010,NA,NA,NA
ecological,biodiversity breakdown,global doughnut,World,hanppGtC,2011,NA,NA,NA
ecological,biodiversity breakdown,global doughnut,World,hanppGtC,2012,NA,NA,NA
ecological,biodiversity breakdown,global doughnut,World,hanppGtC,2013,NA,NA,NA
ecological,biodiversity breakdown,global doughnut,World,hanppGtC,2014,NA,NA,NA
ecological,biodiversity breakdown,global doughnut,World,hanppGtC,2015,NA,NA,NA
ecological,biodiversity breakdown,global doughnut,World,hanppGtC,2016,NA,NA,NA
ecological,biodiversity breakdown,global doughnut,World,hanppGtC,2017,NA,NA,NA
ecological,biodiversity breakdown,global doughnut,World,hanppGtC,2018,NA,NA,NA
ecological,biodiversity breakdown,global doughnut,World,hanppGtC,2019,NA,NA,NA
ecological,biodiversity breakdown,global doughnut,World,hanppGtC,2020,NA,NA,16.8
ecological,biodiversity breakdown,global doughnut,World,hanppGtC,2021,NA,NA,NA
ecological,biodiversity breakdown,global doughnut,World,hanppGtC,2022,NA,NA,NA
ecological,biodiversity breakdown,national aggregate,World,species_footprint,2000,6022392584,10811.191884617061,NA
ecological,biodiversity breakdown,national aggregate,World,species_footprint,2001,6102449162,10941.01552034705,NA
ecological,biodiversity breakdown,national aggregate,World,species_footprint,2002,6182357789,11080.549676251441,NA
ecological,biodiversity breakdown,national aggregate,World,species_footprint,2003,6262095302,11329.91810986508,NA
ecological,biodiversity breakdown,national aggregate,World,species_footprint,2004,6342183333,11754.14061196926,NA
ecological,biodiversity breakdown,national aggregate,World,species_footprint,2005,6422533547,12128.425776384207,NA
ecological,biodiversity breakdown,national aggregate,World,species_footprint,2006,6503250735,12605.283209224684,NA
ecological,biodiversity breakdown,national aggregate,World,species_footprint,2007,6585123176,13100.663689299492,NA
ecological,biodiversity breakdown,national aggregate,World,species_footprint,2008,6676911713,13262.657049384103,NA
ecological,biodiversity breakdown,national aggregate,World,species_footprint,2009,6761394784,13024.213735132085,NA
ecological,biodiversity breakdown,national aggregate,World,species_footprint,2010,6846578658,13505.328973548678,NA
ecological,biodiversity breakdown,national aggregate,World,species_footprint,2011,6932482993,13884.056143385249,NA
ecological,biodiversity breakdown,national aggregate,World,species_footprint,2012,7019410348,14136.919085775231,NA
ecological,biodiversity breakdown,national aggregate,World,species_footprint,2013,7106227170,14397.823223021156,NA
ecological,biodiversity breakdown,national aggregate,World,species_footprint,2014,7192767875,14725.823876377588,NA
ecological,biodiversity breakdown,national aggregate,World,species_footprint,2015,7278466615,15023.8557729071,NA
ecological,biodiversity breakdown,national aggregate,World,species_footprint,2016,7363461574,15309.149487821616,NA
ecological,biodiversity breakdown,national aggregate,World,species_footprint,2017,7448056322,15730.45692085964,0.6612590614097671
ecological,biodiversity breakdown,national aggregate,World,species_footprint,2018,7530230552,16104.246577158061,NA
ecological,biodiversity breakdown,national aggregate,World,species_footprint,2019,7609776788,16396.30415131602,NA
ecological,biodiversity breakdown,national aggregate,World,species_footprint,2020,7685261481,15722.6243392955,NA
ecological,biodiversity breakdown,national aggregate,World,species_footprint,2021,7753399602,16531.046091322263,NA
ecological,biodiversity breakdown,national aggregate,World,species_footprint,2022,7818196139,16933.95738092833,NA
ecological,biodiversity breakdown,national aggregate,Bottom-40,species_footprint,2000,2376251180,2579.4843396945944,NA
ecological,biodiversity breakdown,national aggregate,Bottom-40,species_footprint,2001,2426787989,2652.5588679937755,NA
ecological,biodiversity breakdown,national aggregate,Bottom-40,species_footprint,2002,2478235048,2722.550528921249,NA
ecological,biodiversity breakdown,national aggregate,Bottom-40,species_footprint,2003,2529741078,2836.395690472428,NA
ecological,biodiversity breakdown,national aggregate,Bottom-40,species_footprint,2004,2580984201,2981.3451289937984,NA
ecological,biodiversity breakdown,national aggregate,Bottom-40,species_footprint,2005,2632156395,3126.9936710480224,NA
ecological,biodiversity breakdown,national aggregate,Bottom-40,species_footprint,2006,2683431644,3297.5807525828873,NA
ecological,biodiversity breakdown,national aggregate,Bottom-40,species_footprint,2007,2734871536,3466.408421660846,NA
ecological,biodiversity breakdown,national aggregate,Bottom-40,species_footprint,2008,2795001471,3534.3570992052796,NA
ecological,biodiversity breakdown,national aggregate,Bottom-40,species_footprint,2009,2847446203,3675.288745010788,NA
ecological,biodiversity breakdown,national aggregate,Bottom-40,species_footprint,2010,2901274477,3844.870051171807,NA
ecological,biodiversity breakdown,national aggregate,Bottom-40,species_footprint,2011,2955832944,4009.6372800035233,NA
ecological,biodiversity breakdown,national aggregate,Bottom-40,species_footprint,2012,3010003314,4102.676086858366,NA
ecological,biodiversity breakdown,national aggregate,Bottom-40,species_footprint,2013,3063131123,4245.545393317514,NA
ecological,biodiversity breakdown,national aggregate,Bottom-40,species_footprint,2014,3115821462,4445.625619050939,NA
ecological,biodiversity breakdown,national aggregate,Bottom-40,species_footprint,2015,3168801188,4639.8204727996545,NA
ecological,biodiversity breakdown,national aggregate,Bottom-40,species_footprint,2016,3223415240,4820.5434787645945,NA
ecological,biodiversity breakdown,national aggregate,Bottom-40,species_footprint,2017,3279187003,5022.645571175445,0.295702190918563
ecological,biodiversity breakdown,national aggregate,Bottom-40,species_footprint,2018,3335141885,5220.246520639839,NA
ecological,biodiversity breakdown,national aggregate,Bottom-40,species_footprint,2019,3391515669,5351.198468263703,NA
ecological,biodiversity breakdown,national aggregate,Bottom-40,species_footprint,2020,3448355313,5065.89772405755,NA
ecological,biodiversity breakdown,national aggregate,Bottom-40,species_footprint,2021,3503396785,5277.14433390681,NA
ecological,biodiversity breakdown,national aggregate,Bottom-40,species_footprint,2022,3557061423,5519.322704930674,NA
ecological,biodiversity breakdown,national aggregate,Middle-40,species_footprint,2000,2763213047,7654.13769028717,NA
ecological,biodiversity breakdown,national aggregate,Middle-40,species_footprint,2001,2787097352,7864.397438154485,NA
